File,x (cubic),y (cubic),Derotate Angle,Padding [pix],Big,Shape,,big-shape,LLPad,URPad,unpad x,unpad y,cen,derot x,derot y
hst_06058_01_wfpc2_f343n_wf_drz.fits,1790.857063,1718.045559,180.152756,445,3041,2150,,891,445,446,1345.857063,1273.045559,1520,803.6158919,877.6772751
hst_06058_01_wfpc2_f555w_wf_drz.fits,1743.199182,1780.054921,180.152756,445,3041,2150,,891,445,446,1298.199182,1335.054921,1520,851.1082808,815.5410732
hst_06058_01_wfpc2_f675w_wf_drz.fits,2082.00327,2273.168175,180.1527559,445,3041,2150,,891,445,446,1637.00327,1828.168175,1520,510.9907128,323.3328532
hst_06058_01_wfpc2_total_wf_drz.fits,1714.262551,1780.918864,180.152756,445,3041,2150,,891,445,446,1269.262551,1335.918864,1520,880.0425062,814.5999849
hst_06058_03_wfpc2_f343n_wf_drz.fits,1448.438857,1580.011519,15.15421532,435,2970,2100,,870,435,435,1013.438857,1145.011519,1485,1039.547962,1151.265299
hst_06058_03_wfpc2_f555w_wf_drz.fits,1731.093636,1927.758247,15.1542153,435,2970,2100,,870,435,435,1296.093636,1492.758247,1485,1403.280858,1413.028344
hst_06058_03_wfpc2_f675w_wf_drz.fits,1724.005989,1906.678397,15.1542153,435,2970,2100,,870,435,435,1289.005989,1471.678397,1485,1390.929028,1394.534368
hst_06058_03_wfpc2_total_wf_drz.fits,1711.363171,1878.224734,15.1542153,435,2970,2100,,870,435,435,1276.363171,1443.224734,1485,1371.287557,1370.375222
hst_06253_xk_wfpc2_f300w_wf_drz.fits,1586.947782,1813.707735,153.0574028,404,2758,1950,,808,404,404,1182.947782,1409.707735,1379,986.5877117,493.2544033
hst_06253_xk_wfpc2_total_wf_drz.fits,1586.947782,1813.707735,153.0574028,404,2758,1950,,808,404,404,1182.947782,1409.707735,1379,986.5877117,493.2544033
hst_07786_lf_wfpc2_f606w_wf_drz.fits,1510.691183,1688.249532,13.41817585,435,2970,2100,,870,435,435,1075.691183,1253.249532,1485,1122.155245,1241.739484
hst_07786_lf_wfpc2_total_wf_drz.fits,1510.691183,1688.249532,13.41817585,435,2970,2100,,870,435,435,1075.691183,1253.249532,1485,1122.155245,1241.739484
hst_07786_lg_wfpc2_f300w_wf_drz.fits,1893.759888,2157.820374,13.41828099,435,2970,2100,,870,435,435,1458.759888,1722.820374,1485,1603.735045,1609.597536
hst_07786_lg_wfpc2_total_wf_drz.fits,1893.759888,2157.820374,13.41828099,435,2970,2100,,870,435,435,1458.759888,1722.820374,1485,1603.735045,1609.597536
hst_07786_lh_wfpc2_f300w_wf_drz.fits,1412.525512,1624.213467,13.41817509,435,2970,2100,,870,435,435,977.5255118,1189.213467,1485,1011.809283,1202.231435
hst_07786_lh_wfpc2_total_wf_drz.fits,1412.525512,1624.213467,13.41817509,435,2970,2100,,870,435,435,977.5255118,1189.213467,1485,1011.809283,1202.231435
hst_07786_li_wfpc2_f300w_wf_drz.fits,1515.968912,1753.135073,13.41828104,435,2970,2100,,870,435,435,1080.968912,1318.135073,1485,1142.346481,1303.628899
hst_07786_li_wfpc2_total_wf_drz.fits,1515.968912,1753.135073,13.41828104,435,2970,2100,,870,435,435,1080.968912,1318.135073,1485,1142.346481,1303.628899
hst_07786_ql_wfpc2_f606w_wf_drz.fits,1556.54537,2140.580861,-0.86701721,445,3041,2150,,891,445,446,1111.54537,1695.580861,1520,1102.150726,1696.062805
hst_07786_ql_wfpc2_total_wf_drz.fits,1556.54537,2140.580861,-0.86701721,445,3041,2150,,891,445,446,1111.54537,1695.580861,1520,1102.150726,1696.062805
hst_07786_qm_wfpc2_f300w_wf_drz.fits,1884.792754,1720.572209,-0.86701824,445,3041,2150,,891,445,446,1439.792754,1275.572209,1520,1436.715981,1281.069196
hst_07786_qm_wfpc2_total_wf_drz.fits,1884.792754,1720.572209,-0.86701824,445,3041,2150,,891,445,446,1439.792754,1275.572209,1520,1436.715981,1281.069196
hst_07786_qn_wfpc2_f300w_wf_drz.fits,1893.811959,2185.885082,-0.86723117,445,3041,2150,,891,445,446,1448.811959,1740.885082,1520,1438.690662,1746.466623
hst_07786_qn_wfpc2_total_wf_drz.fits,1893.811959,2185.885082,-0.86723117,445,3041,2150,,891,445,446,1448.811959,1740.885082,1520,1438.690662,1746.466623
hst_07786_qo_wfpc2_f300w_wf_drz.fits,1659.534543,1955.168944,-0.86701824,445,3041,2150,,891,445,446,1214.534543,1510.168944,1520,1207.933702,1512.230522
hst_07786_qo_wfpc2_total_wf_drz.fits,1659.534543,1955.168944,-0.86701824,445,3041,2150,,891,445,446,1214.534543,1510.168944,1520,1207.933702,1512.230522
hst_07909_tz_wfpc2_f606w_wf_drz.fits,1680.013316,1933.431672,105.0801587,435,2970,2100,,870,435,435,1245.013316,1498.431672,1485,1432.252289,745.033862
hst_07909_tz_wfpc2_total_wf_drz.fits,1680.013316,1933.431672,105.0801587,435,2970,2100,,870,435,435,1245.013316,1498.431672,1485,1432.252289,745.033862
hst_07909_u0_wfpc2_f606w_wf_drz.fits,1805.924229,2062.565007,105.0801587,435,2970,2100,,870,435,435,1370.924229,1627.565007,1485,1524.18037,589.8623311
hst_07909_u0_wfpc2_total_wf_drz.fits,1805.924229,2062.565007,105.0801587,435,2970,2100,,870,435,435,1370.924229,1627.565007,1485,1524.18037,589.8623311
hst_07909_u8_wfpc2_f606w_wf_drz.fits,1311.588045,2163.621246,105.0807994,435,2970,2100,,870,435,435,876.5880446,1728.621246,1485,1750.367933,1040.875305
hst_07909_u8_wfpc2_total_wf_drz.fits,1311.588045,2163.621246,105.0807994,435,2970,2100,,870,435,435,876.5880446,1728.621246,1485,1750.367933,1040.875305
hst_07909_ub_wfpc2_f606w_wf_drz.fits,1924.416804,2177.062093,104.2515903,435,2970,2100,,870,435,435,1489.416804,1742.062093,1485,1612.587529,453.7346727
hst_07909_ub_wfpc2_total_wf_drz.fits,1924.416804,2177.062093,104.2515903,435,2970,2100,,870,435,435,1489.416804,1742.062093,1485,1612.587529,453.7346727
hst_07909_uj_wfpc2_f606w_wf_drz.fits,1951.888707,1990.965968,96.06119972,445,3041,2150,,891,445,446,1506.888707,1545.965968,1520,1497.72969,595.7960689
hst_07909_uj_wfpc2_total_wf_drz.fits,1951.888707,1990.965968,96.06119972,445,3041,2150,,891,445,446,1506.888707,1545.965968,1520,1497.72969,595.7960689
hst_07909_wl_wfpc2_f606w_wf_drz.fits,1885.434622,2017.778034,15.0150375,435,2970,2100,,870,435,435,1450.434622,1582.778034,1485,1574.791091,1460.846237
hst_07909_wl_wfpc2_total_wf_drz.fits,1885.434622,2017.778034,15.0150375,435,2970,2100,,870,435,435,1450.434622,1582.778034,1485,1574.791091,1460.846237
hst_08090_n8_wfpc2_f606w_wf_drz.fits,1848.859411,2218.495397,102.4483135,435,2970,2100,,870,435,435,1413.859411,1783.495397,1485,1687.818449,536.5832161
hst_08090_n8_wfpc2_total_wf_drz.fits,1848.859411,2218.495397,102.4483135,435,2970,2100,,870,435,435,1413.859411,1783.495397,1485,1687.818449,536.5832161
hst_08805_kx_wfpc2_f606w_wf_drz.fits,733.8505197,1799.202075,101.8249927,435,2970,2100,,870,435,435,298.8505197,1364.202075,1485,1511.461927,1720.821419
hst_08805_kx_wfpc2_total_wf_drz.fits,733.8505197,1799.202075,101.8249927,435,2970,2100,,870,435,435,298.8505197,1364.202075,1485,1511.461927,1720.821419
hst_09244_lg_wfpc2_f300w_wf_drz.fits,1698.765686,1826.494516,113.8065914,414,2829,2000,,829,414,415,1284.765686,1412.494516,1414,1262.450866,572.9604652
hst_09244_lg_wfpc2_f450w_wf_drz.fits,1778.611464,1889.40247,113.8065954,414,2829,2000,,829,414,415,1364.611464,1475.40247,1414,1287.776357,474.5156556
hst_09244_lg_wfpc2_f606w_wf_drz.fits,1799.421858,2021.185568,113.8065954,414,2829,2000,,829,414,415,1385.421858,1607.185568,1414,1399.946326,402.2816225
hst_09244_lg_wfpc2_total_wf_drz.fits,1740.020287,1926.481955,113.8065954,414,2829,2000,,829,414,415,1326.020287,1512.481955,1414,1337.27822,494.8560764
hst_09244_ly_wfpc2_f606w_wf_drz.fits,1765.183276,1982.843596,113.8066905,414,2829,2000,,829,414,415,1351.183276,1568.843596,1414,1378.68626,449.0830857
hst_09244_ly_wfpc2_total_wf_drz.fits,1765.183276,1982.843596,113.8066905,414,2829,2000,,829,414,415,1351.183276,1568.843596,1414,1378.68626,449.0830857
hst_09244_m6_wfpc2_f606w_wf_drz.fits,1070.920686,1747.080019,113.0540655,414,2829,2000,,829,414,415,656.9206856,1333.080019,1414,1440.82854,1185.24555
hst_09244_m6_wfpc2_total_wf_drz.fits,1070.920686,1747.080019,113.0540655,414,2829,2000,,829,414,415,656.9206856,1333.080019,1414,1440.82854,1185.24555
hst_09244_mm_wfpc2_f606w_wf_drz.fits,1073.863906,1887.004518,113.054147,414,2829,2000,,829,414,415,659.8639064,1473.004518,1414,1568.42569,1127.742206
hst_09244_mm_wfpc2_total_wf_drz.fits,1073.863906,1887.004518,113.054147,414,2829,2000,,829,414,415,659.8639064,1473.004518,1414,1568.42569,1127.742206
hst_09244_yg_wfpc2_f606w_wf_drz.fits,1843.054387,2153.320292,14.30146387,435,2970,2100,,870,435,435,1408.054387,1718.320292,1485,1562.049073,1609.160714
hst_09244_yg_wfpc2_total_wf_drz.fits,1843.054387,2153.320292,14.30146387,435,2970,2100,,870,435,435,1408.054387,1718.320292,1485,1562.049073,1609.160714
hst_09318_pt_wfpc2_f300w_wf_drz.fits,1724.323547,1970.841702,207.1837009,404,2758,1950,,808,404,404,1320.323547,1566.841702,1379,397.4388336,606.2886618
hst_09318_pt_wfpc2_f606w_wf_drz.fits,1820.499749,2021.477615,207.1836983,404,2758,1950,,808,404,404,1416.499749,1617.477615,1379,288.7529002,605.1832447
hst_09318_pt_wfpc2_total_wf_drz.fits,1641.953136,1970.792774,207.1836983,404,2758,1950,,808,404,404,1237.953136,1566.792774,1379,470.7335038,568.7016606
hst_09318_q0_wfpc2_f606w_wf_drz.fits,1696.077637,1921.314453,206.8046003,404,2758,1950,,808,404,404,1292.077637,1517.314453,1379,447.4362056,633.9433522
hst_09318_q0_wfpc2_total_wf_drz.fits,1696.077637,1921.314453,206.8046003,404,2758,1950,,808,404,404,1292.077637,1517.314453,1379,447.4362056,633.9433522
hst_09318_q1_wfpc2_f606w_wf_drz.fits,1679.965231,1839.206681,206.8046003,404,2758,1950,,808,404,404,1275.965231,1435.206681,1379,498.8437619,699.9627365
hst_09318_q1_wfpc2_total_wf_drz.fits,1679.965231,1839.206681,206.8046003,404,2758,1950,,808,404,404,1275.965231,1435.206681,1379,498.8437619,699.9627365
hst_09319_ui_wfpc2_f300w_wf_drz.fits,929.3639954,1840.821562,206.8046003,404,2758,1950,,808,404,404,525.3639954,1436.821562,1379,1168.064376,360.0383436
hst_09319_ui_wfpc2_f606w_wf_drz.fits,1272.842114,1844.966094,206.8046003,404,2758,1950,,808,404,404,868.8421142,1440.966094,1379,859.62414,511.2303282
hst_09319_ui_wfpc2_total_wf_drz.fits,929.3639954,1840.821562,206.8046003,404,2758,1950,,808,404,404,525.3639954,1436.821562,1379,1168.064376,360.0383436
hst_09319_ux_wfpc2_f300w_wf_drz.fits,1552.461503,1739.397112,206.8046003,404,2758,1950,,808,404,404,1148.461503,1335.397112,1379,657.6562113,731.5500235
hst_09319_ux_wfpc2_f606w_wf_drz.fits,1371.640682,1464.80924,206.8046003,404,2758,1950,,808,404,404,967.6406816,1060.80924,1379,942.8729484,895.0923175
hst_09319_ux_wfpc2_total_wf_drz.fits,1552.461503,1739.397112,206.8046003,404,2758,1950,,808,404,404,1148.461503,1335.397112,1379,657.6562113,731.5500235
